;labels-md4_mw50_RW;entities-md4_mw50_RW;embeddings-md4_mw50_RW
203;mental health;http://www.wikidata.org/entity/Q42844;[-0.10349854826927185, 0.35280129313468933, 0.19832278788089752, 0.16147610545158386, 0.02930353954434395, -0.4897213280200958, -0.0769500881433487, 0.7144349217414856, -0.20561817288398743, -0.36214423179626465, -0.0441155880689621, -0.3683229684829712, -0.2980293333530426, 0.0873580276966095, 0.19741412997245789, -0.05195147916674614, 0.13750912249088287, 0.268167108297348, -0.44118526577949524, -0.4591527581214905, 0.3350549042224884, -0.0046762507408857346, 0.3799978792667389, -0.2754094898700714, 0.027657343074679375, 0.24707777798175812, -0.3027522563934326, 0.14851196110248566, -0.10247360914945602, -0.01974227838218212, 0.35296621918678284, -0.2455640435218811, -0.0255192331969738, -0.7026050686836243, -0.10323860496282578, 0.17215146124362946, 0.3305729925632477, -0.13550931215286255, -0.21522970497608185, 0.009949148632586002, 0.12003178894519806, -0.10817170143127441, -0.41231366991996765, -0.04849619045853615, 0.024500960484147072, -0.17842340469360352, -0.31691083312034607, -0.20769308507442474, 0.09218571335077286, 0.3089218735694885, -0.20120222866535187, -0.47451329231262207, -0.3545196056365967, 0.025503722950816154, -0.21855229139328003, 0.1636316031217575, 0.25439509749412537, -0.18494145572185516, 0.02399233542382717, 0.24981121718883514, 0.14817236363887787, -0.06592671573162079, 0.07566706091165543, 0.023542610928416252, 0.040068238973617554, 0.5399530529975891, 0.4671981930732727, 0.028539059683680534, 0.03945472091436386, 0.3091672658920288, -0.05818380042910576, 0.2855595648288727, 0.3218260705471039, -0.12974688410758972, 0.11954180896282196, 0.06949255615472794, -0.008114800788462162, -0.006599060259759426, 0.04047722369432449, -0.10468406975269318, -0.2756674289703369, -0.01401051227003336, -0.18234553933143616, 0.21056553721427917, -0.28496265411376953, 0.0636100023984909, 0.06595712155103683, -0.03858577832579613, 0.23201517760753632, 0.0825379267334938, 0.11974139511585236, 0.4078421890735626, 0.1911521553993225, -0.09396983683109283, 0.5710262656211853, 0.08198659867048264, 0.048246342688798904, -0.1755479872226715, -0.13463491201400757, 0.2533014118671417]
204;pandemic;http://www.wikidata.org/entity/Q2473014;[-0.039484426379203796, 0.22294113039970398, 0.12659865617752075, 0.202565997838974, 0.024604681879281998, -0.4140540063381195, -0.04701235890388489, 0.5692817568778992, -0.2185240238904953, -0.3278018534183502, 0.02355126105248928, -0.35083648562431335, -0.24091693758964539, 0.17280389368534088, 0.1801603138446808, 0.00979207456111908, 0.1488569974899292, 0.26997387409210205, -0.2980915904045105, -0.41636982560157776, 0.33362480998039246, 0.02662229910492897, 0.29857707023620605, -0.26356855034828186, 0.0786755308508873, 0.24070946872234344, -0.341076135635376, 0.11033954471349716, -0.08642174303531647, -0.04947521537542343, 0.3289226293563843, -0.20650294423103333, -0.01524574775248766, -0.5674430727958679, -0.1137494370341301, 0.046371109783649445, 0.22753040492534637, -0.08466991037130356, -0.17305214703083038, -0.021499106660485268, 0.08157851547002792, -0.07881427556276321, -0.30232009291648865, -0.008291385136544704, 0.008251283317804337, -0.1572135090827942, -0.29768767952919006, -0.20382612943649292, 0.09971825033426285, 0.3048346936702728, -0.18435293436050415, -0.373038649559021, -0.33800655603408813, 0.009305045939981937, -0.1950569897890091, 0.19269384443759918, 0.17440737783908844, -0.1090753823518753, 0.07307220995426178, 0.2320692390203476, 0.12667106091976166, -0.03203192725777626, 0.039243098348379135, 0.14296488463878632, 0.008728858083486557, 0.5054664015769958, 0.3599226474761963, 0.0060333809815347195, 0.024303939193487167, 0.3354969918727875, -0.07774461805820465, 0.31020817160606384, 0.32815295457839966, -0.21629545092582703, 0.12941177189350128, 0.062343157827854156, 0.053551435470581055, -0.02220955677330494, 0.025470852851867676, -0.11232465505599976, -0.28799134492874146, -0.042117759585380554, -0.2055012434720993, 0.2190944105386734, -0.22220927476882935, 0.04117758944630623, 0.047166138887405396, -0.04513982683420181, 0.23596632480621338, 0.0552523210644722, 0.09492091089487076, 0.29432570934295654, 0.16982750594615936, -0.0441151037812233, 0.4771679937839508, 0.07688707113265991, 0.10064035654067993, -0.11046530306339264, -0.07167800515890121, 0.2491384744644165]
205;finance;http://www.wikidata.org/entity/Q1120735;[-0.15650925040245056, 0.3008679151535034, 0.1177898496389389, 0.13716968894004822, 0.03392136096954346, -0.41320574283599854, -0.09085613489151001, 0.6344882845878601, -0.205234095454216, -0.32872360944747925, -0.02837543562054634, -0.3324164152145386, -0.2922537922859192, 0.14370888471603394, 0.14235864579677582, -0.05191170424222946, 0.11463367193937302, 0.2665717303752899, -0.31997907161712646, -0.38712215423583984, 0.3103216886520386, -0.001051745843142271, 0.3080669641494751, -0.19889545440673828, 0.08357406407594681, 0.1936214715242386, -0.2331584244966507, 0.1333410143852234, -0.12315241247415543, -0.029242349788546562, 0.3191141188144684, -0.20189864933490753, -0.023003946989774704, -0.600358784198761, -0.08666173368692398, 0.08292915672063828, 0.2539348900318146, -0.04607528820633888, -0.17852358520030975, 0.039656221866607666, 0.09560488164424896, -0.12371132522821426, -0.42134222388267517, -0.0024939165450632572, 0.027904633432626724, -0.13885149359703064, -0.2694111168384552, -0.15950195491313934, 0.08532950282096863, 0.28860726952552795, -0.19038356840610504, -0.3487341105937958, -0.2808905839920044, -0.014011774212121964, -0.13561074435710907, 0.16092872619628906, 0.16008329391479492, -0.15039297938346863, 0.010584755800664425, 0.2301192283630371, 0.1499062329530716, 0.007725248113274574, 0.045206695795059204, 0.06647733598947525, 0.0322490893304348, 0.44263023138046265, 0.4276728928089142, 0.08369772136211395, 0.06516850739717484, 0.33081337809562683, -0.04230501130223274, 0.2519863247871399, 0.3005310297012329, -0.15619111061096191, 0.11601897329092026, 0.1145753487944603, 0.0033032658975571394, -0.022411640733480453, 0.02802189625799656, -0.1328813135623932, -0.2866923213005066, -0.018273169174790382, -0.16531848907470703, 0.19354480504989624, -0.2822287678718567, 0.038416583091020584, 0.07389146089553833, -0.02199907787144184, 0.19518530368804932, 0.0248196329921484, 0.12675082683563232, 0.317225843667984, 0.19100861251354218, -0.060841985046863556, 0.4609847068786621, 0.09159236401319504, 0.09097122400999069, -0.13989359140396118, -0.08413797616958618, 0.24622730910778046]
206;proton;http://www.wikidata.org/entity/Q2424752;[-0.10383875668048859, 0.28153541684150696, 0.08601018041372299, 0.14835330843925476, 0.05128394812345505, -0.4560111463069916, 0.027175908908247948, 0.7248085141181946, -0.26150980591773987, -0.3675594925880432, -0.01844235323369503, -0.3457987904548645, -0.3421657085418701, 0.12616020441055298, 0.1757691353559494, 0.00037688991869799793, 0.176908940076828, 0.3077421486377716, -0.376187264919281, -0.4259148836135864, 0.3339596092700958, -0.05763285979628563, 0.3990773856639862, -0.2128826528787613, -0.028139565140008926, 0.18324413895606995, -0.3007621169090271, 0.14693421125411987, -0.06830736994743347, -0.06724892556667328, 0.4961226284503937, -0.25133809447288513, -0.0015358520904555917, -0.6575563549995422, -0.07499708980321884, 0.12771259248256683, 0.29243993759155273, -0.10064686089754105, -0.24216601252555847, -0.058951485902071, 0.18157094717025757, -0.11048170924186707, -0.37291181087493896, -0.05246676504611969, 0.03307269886136055, -0.11958839744329453, -0.3044251799583435, -0.2212197631597519, 0.06443279981613159, 0.2756873369216919, -0.16552339494228363, -0.46997755765914917, -0.303158700466156, 0.021450985223054886, -0.2625565528869629, 0.15218131244182587, 0.17025457322597504, -0.20119531452655792, 0.004815732128918171, 0.09479031711816788, 0.14432230591773987, -0.042969245463609695, 0.19363102316856384, 0.05763227492570877, 0.0053288983181118965, 0.5072389245033264, 0.4449138641357422, 0.06349939107894897, -0.00957576185464859, 0.2711862325668335, -0.06260377168655396, 0.2922266125679016, 0.32874032855033875, -0.09565415978431702, 0.15981557965278625, 0.03244109824299812, -0.05699080228805542, 0.056663379073143005, 0.035284411162137985, -0.0744042918086052, -0.27767446637153625, -0.04408412054181099, -0.17438247799873352, 0.20757940411567688, -0.2343868613243103, -0.03946913033723831, 0.16543175280094147, 0.012587731704115868, 0.14421631395816803, 0.07273359596729279, 0.10599218308925629, 0.3574136793613434, 0.2173641175031662, -0.06114965304732323, 0.5930394530296326, 0.11659516394138336, 0.17845170199871063, -0.220576673746109, -0.09536996483802795, 0.23279410600662231]
207;food;http://www.wikidata.org/entity/Q12184;[-0.13713392615318298, 0.3150902986526489, 0.14528623223304749, 0.10961578041315079, 0.0477406345307827, -0.4517529308795929, -0.11468207836151123, 0.668807327747345, -0.18290778994560242, -0.3093402087688446, -0.04008565470576286, -0.33463606238365173, -0.3185676038265228, 0.10394192487001419, 0.161860391497612, -0.013502518646419048, 0.12920954823493958, 0.3020322918891907, -0.3347839415073395, -0.36759164929389954, 0.32285594940185547, -0.021251700818538666, 0.307378351688385, -0.2542872428894043, 0.05988362058997154, 0.19605319201946259, -0.27044257521629333, 0.11160276085138321, -0.1059056967496872, -0.0495651550590992, 0.36210256814956665, -0.2209174931049347, -0.0650714635848999, -0.6254079341888428, -0.07051830738782883, 0.04609743505716324, 0.310346782207489, -0.04046746343374252, -0.18287251889705658, 0.07300083339214325, 0.11475621163845062, -0.0954648107290268, -0.3734757900238037, -0.031821802258491516, 0.00894935429096222, -0.17653553187847137, -0.2695728540420532, -0.17454491555690765, 0.08870697021484375, 0.3205627501010895, -0.1641373485326767, -0.37405678629875183, -0.30377888679504395, 0.025525208562612534, -0.1371246576309204, 0.17070771753787994, 0.17024587094783783, -0.15835040807724, 0.01036318950355053, 0.24969424307346344, 0.14993984997272491, 0.01918395236134529, 0.028837032616138458, 0.09491124749183655, 0.04431339353322983, 0.4644983112812042, 0.4760206937789917, 0.061346713453531265, 0.04580184072256088, 0.31552061438560486, -0.03616233915090561, 0.2214493304491043, 0.2990903854370117, -0.17198456823825836, 0.13134436309337616, 0.06926319003105164, -0.010788029059767723, -0.0009361972333863378, 0.04086998850107193, -0.11480115354061127, -0.28533390164375305, -0.005109884776175022, -0.14844411611557007, 0.20816083252429962, -0.26766297221183777, 0.04915553331375122, 0.04468875005841255, 0.002453934634104371, 0.18765021860599518, 0.05408424139022827, 0.09953205287456512, 0.3056966960430145, 0.23339223861694336, -0.09898646920919418, 0.5064623951911926, 0.07552987337112427, 0.08197570592164993, -0.14688275754451752, -0.0890442356467247, 0.27217739820480347]
208;Planck constant;http://www.wikidata.org/entity/Q42848;[-0.14404860138893127, 0.2819727063179016, 0.13726383447647095, 0.12237932533025742, -0.014091829769313335, -0.4175456762313843, -0.07413043081760406, 0.5815138220787048, -0.2188468873500824, -0.3188217282295227, -0.024758867919445038, -0.3565531075000763, -0.28950434923171997, 0.0899370014667511, 0.16766990721225739, -0.04066874459385872, 0.11016789078712463, 0.22287839651107788, -0.3279455006122589, -0.37951216101646423, 0.25465136766433716, 0.02619316428899765, 0.3049742579460144, -0.24177581071853638, 0.04341896250844002, 0.16212506592273712, -0.26334163546562195, 0.07422306388616562, -0.07782897353172302, -0.011637642048299313, 0.3183918297290802, -0.2175588756799698, -0.03697386384010315, -0.6072217226028442, -0.0890306904911995, 0.07432089745998383, 0.2591332197189331, -0.03619970381259918, -0.13158290088176727, 0.0015125409699976444, 0.10333599150180817, -0.11210675537586212, -0.39746934175491333, -0.009521189145743847, 7.087827543728054e-05, -0.1267818957567215, -0.2671054005622864, -0.11771749705076218, 0.07798042893409729, 0.2846360206604004, -0.16891220211982727, -0.3788140118122101, -0.2611915171146393, 0.049217406660318375, -0.13877663016319275, 0.16656219959259033, 0.21894480288028717, -0.15226969122886658, -0.0006201808573678136, 0.23544418811798096, 0.13874544203281403, -0.03496482968330383, 0.059485580772161484, 0.03966665267944336, 0.01738574355840683, 0.4492388963699341, 0.3581306040287018, 0.05333985388278961, 0.036200448870658875, 0.2761257588863373, -0.025415388867259026, 0.2358364462852478, 0.3301691710948944, -0.1458892822265625, 0.0984097346663475, 0.09677249938249588, -0.020186468958854675, -0.029796719551086426, 0.04713999852538109, -0.11446963995695114, -0.226583793759346, -0.007628197781741619, -0.1351451873779297, 0.13772977888584137, -0.24287180602550507, 0.0451529324054718, 0.004423663951456547, -0.024232719093561172, 0.22757203876972198, 0.10527542233467102, 0.15643568336963654, 0.34391602873802185, 0.1272139847278595, -0.07904825359582901, 0.4887165129184723, 0.1199570968747139, 0.050192467868328094, -0.14475920796394348, -0.09097583591938019, 0.20322924852371216]
209;Today;http://www.wikidata.org/entity/Q43015;[-0.12848331034183502, 0.33174213767051697, 0.17382527887821198, 0.19172391295433044, 0.04710036516189575, -0.4659341275691986, -0.047536853700876236, 0.7266873121261597, -0.20979468524456024, -0.37496182322502136, -0.006731579080224037, -0.38317641615867615, -0.30033421516418457, 0.12426969408988953, 0.19449543952941895, -0.04604620859026909, 0.13094918429851532, 0.277340829372406, -0.4047606289386749, -0.4699442386627197, 0.3528992533683777, 0.015798067674040794, 0.40633848309516907, -0.2546044886112213, 0.016741737723350525, 0.23751428723335266, -0.2706969380378723, 0.15968093276023865, -0.12619437277317047, -0.0392397977411747, 0.40117019414901733, -0.23264391720294952, 0.022663580253720284, -0.6988343000411987, -0.11662795394659042, 0.14964134991168976, 0.3015798330307007, -0.13423942029476166, -0.25650712847709656, 0.033803969621658325, 0.1233435869216919, -0.07486645877361298, -0.4564974009990692, -0.0667850449681282, 0.051853541284799576, -0.15679845213890076, -0.30826765298843384, -0.21452894806861877, 0.06824042648077011, 0.35285723209381104, -0.1719200760126114, -0.43086478114128113, -0.3544631004333496, -0.016111336648464203, -0.2048904001712799, 0.15366747975349426, 0.22722020745277405, -0.17166920006275177, 0.013830188661813736, 0.22419065237045288, 0.12822623550891876, -0.07431839406490326, 0.08647748082876205, 0.024181336164474487, 0.004916428122669458, 0.5332604646682739, 0.48420411348342896, 0.05268875136971474, 0.07437505573034286, 0.33708736300468445, -0.08197034150362015, 0.29540303349494934, 0.34399792551994324, -0.102935791015625, 0.13937115669250488, 0.09245776385068893, 0.025892769917845726, -0.007656634319573641, 0.04195062071084976, -0.09549771249294281, -0.3183240592479706, -0.03300848230719566, -0.196506068110466, 0.22935818135738373, -0.2939756214618683, 0.026523763313889503, 0.09287922829389572, -0.06649307906627655, 0.22040754556655884, 0.09255842864513397, 0.13502256572246552, 0.4136027991771698, 0.20098070800304413, -0.08958937972784042, 0.5520892143249512, 0.10252862423658371, 0.1313931941986084, -0.1838868111371994, -0.15167824923992157, 0.26662495732307434]
210;omen;http://www.wikidata.org/entity/Q3151690;[-0.08449534326791763, 0.32945507764816284, 0.12384431809186935, 0.07842227071523666, 0.06818544864654541, -0.4978659451007843, -0.1256418377161026, 0.715141773223877, -0.2182444930076599, -0.2764275074005127, -0.07069233059883118, -0.35000911355018616, -0.3756684362888336, 0.11424597352743149, 0.13775165379047394, -0.01466541737318039, 0.1286354959011078, 0.3179657757282257, -0.3590273857116699, -0.39765089750289917, 0.3252423405647278, -0.04731142148375511, 0.31376931071281433, -0.26882824301719666, 0.04338100552558899, 0.17866168916225433, -0.3114776909351349, 0.11283726990222931, -0.12270433455705643, -0.08879856020212173, 0.4330088496208191, -0.2432304322719574, -0.03735191375017166, -0.6439045667648315, -0.06889250129461288, 0.02899279072880745, 0.31470924615859985, -0.04875959828495979, -0.1917615383863449, 0.0031138358172029257, 0.11350743472576141, -0.11937206983566284, -0.380138099193573, -0.04481370374560356, -0.023564385250210762, -0.22216284275054932, -0.26125603914260864, -0.19924546778202057, 0.081052266061306, 0.3136396110057831, -0.17049092054367065, -0.41493839025497437, -0.29857417941093445, 0.0891004353761673, -0.15572993457317352, 0.11133315414190292, 0.14465458691120148, -0.2562442123889923, -0.02406894788146019, 0.20030538737773895, 0.16149598360061646, 0.016050051897764206, 0.06801334023475647, 0.10200508683919907, 0.02045934647321701, 0.4898891746997833, 0.5007312893867493, 0.036178939044475555, -0.008095935918390751, 0.3212336301803589, -0.06453874707221985, 0.2672080993652344, 0.29918617010116577, -0.1567424237728119, 0.15386949479579926, 0.0539085790514946, -0.06717358529567719, 0.03232766315340996, 0.06238303333520889, -0.1256113052368164, -0.23738962411880493, -0.00793004035949707, -0.15257909893989563, 0.20776519179344177, -0.2608255445957184, 0.04784329980611801, 0.057805582880973816, 0.022825276479125023, 0.14057637751102448, 0.1036519929766655, 0.10361570864915848, 0.2792538106441498, 0.2695971727371216, -0.13067501783370972, 0.5235648155212402, 0.08286125957965851, 0.06243134289979935, -0.17462018132209778, -0.13054612278938293, 0.28866279125213623]
211;politics;http://www.wikidata.org/entity/Q11190;[-0.15087930858135223, 0.311382919549942, 0.1442890465259552, 0.17445850372314453, 0.03002118691802025, -0.4324343204498291, -0.0682014673948288, 0.63741534948349, -0.2071395218372345, -0.3640025854110718, -0.015670398250222206, -0.35683107376098633, -0.26073795557022095, 0.1134040579199791, 0.18817177414894104, -0.051608454436063766, 0.12298556417226791, 0.268539696931839, -0.35648465156555176, -0.4112272262573242, 0.32656195759773254, 0.013362033292651176, 0.34994933009147644, -0.24253615736961365, 0.04947663098573685, 0.21456177532672882, -0.2363247126340866, 0.14894554018974304, -0.11573811620473862, -0.015599203296005726, 0.335085391998291, -0.2261677384376526, 0.0017835816834121943, -0.6536900997161865, -0.09601164609193802, 0.0981443002820015, 0.26685160398483276, -0.06439079344272614, -0.1911608725786209, 0.04617838189005852, 0.07511279731988907, -0.09485524892807007, -0.42553970217704773, -0.006159880664199591, 0.0228436179459095, -0.16447795927524567, -0.28516948223114014, -0.15184324979782104, 0.093760646879673, 0.31484082341194153, -0.16700875759124756, -0.38522717356681824, -0.3197668492794037, -0.0250210203230381, -0.1713455617427826, 0.17370225489139557, 0.21258306503295898, -0.11931540817022324, 0.051498230546712875, 0.2510393559932709, 0.11992713063955307, -0.018902022391557693, 0.04657512530684471, 0.037960611283779144, 0.02049572579562664, 0.47292661666870117, 0.4327506721019745, 0.06459731608629227, 0.05340259149670601, 0.32381951808929443, -0.04788124933838844, 0.26667720079421997, 0.3193785548210144, -0.12877166271209717, 0.11242634803056717, 0.09628177434206009, 0.02393052726984024, -0.022663390263915062, 0.024819251149892807, -0.1224009096622467, -0.3025336265563965, 0.002554187085479498, -0.16278435289859772, 0.20534250140190125, -0.2735632359981537, 0.04690070450305939, 0.07015251368284225, -0.06454245001077652, 0.24302241206169128, 0.06790987402200699, 0.10997631400823593, 0.37144896388053894, 0.17898711562156677, -0.08751919865608215, 0.5212068557739258, 0.08255688101053238, 0.09675086289644241, -0.1327553689479828, -0.09704102575778961, 0.22872667014598846]
212;scarcity problem;http://www.wikidata.org/entity/Q815758;[-0.10783422738313675, 0.358183890581131, 0.10374097526073456, 0.07536237686872482, 0.0618172287940979, -0.43373292684555054, -0.074066661298275, 0.7513469457626343, -0.24206948280334473, -0.29072216153144836, -0.04735182225704193, -0.2847713232040405, -0.37022215127944946, 0.048725005239248276, 0.15143369138240814, -0.039869874715805054, 0.1826203465461731, 0.26162415742874146, -0.4134076237678528, -0.385072261095047, 0.31080162525177, -0.04875599220395088, 0.40061479806900024, -0.20862925052642822, -0.05097857862710953, 0.22723081707954407, -0.3101294934749603, 0.1350356936454773, -0.13485275208950043, -0.014292384497821331, 0.47137439250946045, -0.22675089538097382, -0.05212493985891342, -0.7045222520828247, -0.051235586404800415, 0.1383478045463562, 0.30225467681884766, -0.13540680706501007, -0.257087767124176, 0.010307523421943188, 0.19412191212177277, -0.09878039360046387, -0.34361743927001953, -0.0610041506588459, 0.04211200773715973, -0.1917538344860077, -0.25805994868278503, -0.19791322946548462, 0.041586339473724365, 0.24760577082633972, -0.16757771372795105, -0.44084981083869934, -0.2872025668621063, 0.04284121096134186, -0.2156640887260437, 0.12034616619348526, 0.1466769278049469, -0.1912977695465088, -0.02336938865482807, 0.10127998888492584, 0.21435695886611938, -0.07375313341617584, 0.1577073186635971, 0.07887182384729385, 0.028818655759096146, 0.47540876269340515, 0.4904033839702606, 0.03826100006699562, -0.011466514319181442, 0.21403273940086365, -0.09817500412464142, 0.2711483836174011, 0.31186485290527344, -0.08166208863258362, 0.1455616056919098, 0.0733301043510437, -0.10153640061616898, 0.08622483909130096, 0.05844347923994064, -0.08420271426439285, -0.24440984427928925, -0.015347076579928398, -0.16061648726463318, 0.2087550163269043, -0.28080326318740845, -0.019425751641392708, 0.1591244637966156, 0.0938069075345993, 0.13630668818950653, 0.0739375650882721, 0.1324239820241928, 0.32700228691101074, 0.21562977135181427, -0.08676260709762573, 0.5797643065452576, 0.064491406083107, 0.08250593394041061, -0.22351966798305511, -0.15359839797019958, 0.23347556591033936]
213;computer case;http://www.wikidata.org/entity/Q16751793;[-0.15149524807929993, 0.33383843302726746, 0.05748095363378525, 0.1868448406457901, 0.17375558614730835, -0.5108079314231873, -0.018247324973344803, 0.7835754156112671, -0.30913200974464417, -0.38494357466697693, -0.050535593181848526, -0.45773908495903015, -0.36604976654052734, 0.17218515276908875, 0.1932249367237091, -0.08625549077987671, 0.10926961898803711, 0.2894287705421448, -0.3319733440876007, -0.3803195357322693, 0.4047210216522217, -0.03674597665667534, 0.42977532744407654, -0.20731377601623535, 0.02837531268596649, 0.14879000186920166, -0.3081832528114319, 0.1553504765033722, -0.1145426481962204, -0.18469245731830597, 0.501772403717041, -0.27869346737861633, 0.02017616480588913, -0.5730661749839783, -0.0519721694290638, 0.03303183987736702, 0.2881479561328888, 0.0325663723051548, -0.20299440622329712, -0.05258199945092201, 0.10312245041131973, -0.13522875308990479, -0.465007483959198, 0.051987290382385254, -0.0014787823893129826, -0.11537481844425201, -0.29217520356178284, -0.22372864186763763, 0.06636622548103333, 0.33776795864105225, -0.18819144368171692, -0.40543463826179504, -0.2544224262237549, 0.01847083866596222, -0.13820545375347137, 0.1687086969614029, 0.14735820889472961, -0.24538105726242065, 0.022418668493628502, 0.108369842171669, 0.09886560589075089, 0.04757526144385338, 0.19230636954307556, 0.11428069323301315, -0.054754212498664856, 0.46265456080436707, 0.43695583939552307, 0.19518664479255676, -0.0327172577381134, 0.3462059199810028, 0.010193643160164356, 0.2741163671016693, 0.3979949355125427, -0.10663369297981262, 0.1461169719696045, 0.04330070689320564, -0.11891376227140427, -0.0011064201826229692, 0.008313720114529133, -0.20174850523471832, -0.3172290325164795, -0.06601572036743164, -0.15183253586292267, 0.20266851782798767, -0.21043720841407776, 0.025891073048114777, 0.1397356241941452, -0.04835319519042969, 0.22525537014007568, 0.019413461908698082, 0.11606349796056747, 0.30198368430137634, 0.24925875663757324, -0.047385890036821365, 0.6453312039375305, 0.24275168776512146, 0.1252875179052353, -0.11406326293945312, -0.10061897337436676, 0.24555325508117676]
214;primary raw material;http://www.wikidata.org/entity/Q192355;[-0.10532978177070618, 0.30363500118255615, 0.14836208522319794, 0.15442100167274475, 0.05473800376057625, -0.415997177362442, -0.10063883662223816, 0.6313404440879822, -0.18229365348815918, -0.3309291899204254, -0.05529988929629326, -0.2977864146232605, -0.26322242617607117, 0.11083545535802841, 0.19246596097946167, -0.04347497597336769, 0.1415385901927948, 0.2512660622596741, -0.35257142782211304, -0.3717261850833893, 0.3103633522987366, -0.025197159498929977, 0.30154526233673096, -0.2504555583000183, 0.039505861699581146, 0.23776310682296753, -0.2701452076435089, 0.19367410242557526, -0.08010675013065338, -0.005110554397106171, 0.31873321533203125, -0.24955697357654572, -0.06692375242710114, -0.6326341032981873, -0.0891246348619461, 0.07792066782712936, 0.2996291518211365, -0.06216404587030411, -0.1715688407421112, 0.09144705533981323, 0.06894080340862274, -0.057078078389167786, -0.34227633476257324, 0.005883792415261269, 0.007018483243882656, -0.22367092967033386, -0.2589492201805115, -0.18144020438194275, 0.1190485805273056, 0.2572440207004547, -0.18037739396095276, -0.3954799771308899, -0.3050791025161743, -0.02600962296128273, -0.1954028606414795, 0.16886059939861298, 0.16908866167068481, -0.10221747308969498, 0.08629550784826279, 0.22476767003536224, 0.14990222454071045, -0.02547217532992363, 0.0785665288567543, 0.0809682160615921, 0.038239508867263794, 0.4737909138202667, 0.44069579243659973, 0.07707434147596359, -0.011443717405200005, 0.29106757044792175, -0.04214629903435707, 0.2233773171901703, 0.29496389627456665, -0.15432803332805634, 0.09894256293773651, 0.1036224216222763, -0.06186014413833618, 0.02571013756096363, 0.025956157594919205, -0.13112996518611908, -0.28852441906929016, -0.014629081822931767, -0.15113963186740875, 0.2223871946334839, -0.2503844201564789, 0.05485829338431358, 0.06048867106437683, 0.003536734264343977, 0.19049032032489777, 0.04874807968735695, 0.09312357753515244, 0.29946425557136536, 0.1896338313817978, -0.08181270956993103, 0.5169072151184082, 0.033554211258888245, 0.05768810585141182, -0.10687091201543808, -0.10864431411027908, 0.2531667649745941]
215;privacy;http://www.wikidata.org/entity/Q7163;[-0.1635369062423706, 0.3624773621559143, 0.14740194380283356, 0.10353289544582367, 0.04293188825249672, -0.4824628233909607, -0.07260835915803909, 0.7295812368392944, -0.20851057767868042, -0.3288602828979492, -0.045662470161914825, -0.3259338140487671, -0.34816935658454895, 0.08164410293102264, 0.1714438647031784, -0.017072005197405815, 0.09013654291629791, 0.28526148200035095, -0.3904978036880493, -0.40570908784866333, 0.32582980394363403, -0.0425884947180748, 0.383201539516449, -0.23029015958309174, 0.02076079323887825, 0.17143216729164124, -0.23923498392105103, 0.11159849911928177, -0.10602172464132309, -0.06262342631816864, 0.4046694040298462, -0.25082412362098694, -0.025438878685235977, -0.6560588479042053, -0.05738357454538345, 0.1096428781747818, 0.33249616622924805, -0.04831971228122711, -0.19568775594234467, 0.047020323574543, 0.12360192090272903, -0.10673169791698456, -0.44411107897758484, -0.0702458992600441, 0.015274514444172382, -0.20042599737644196, -0.2670562267303467, -0.18967179954051971, 0.07041196525096893, 0.3184094727039337, -0.14627701044082642, -0.4285340905189514, -0.31309816241264343, 0.032412052154541016, -0.1714344173669815, 0.1323169767856598, 0.2158108353614807, -0.2203758955001831, -0.00855604000389576, 0.21409381926059723, 0.12618878483772278, -0.015271742828190327, 0.08438712358474731, -0.01467038318514824, 0.002113942289724946, 0.48378998041152954, 0.5080816149711609, 0.0691782534122467, 0.05938560143113136, 0.2980842590332031, -0.03761317580938339, 0.24930404126644135, 0.3216663599014282, -0.08565018326044083, 0.13654716312885284, 0.07825500518083572, -0.04217292368412018, 4.8087789764394984e-05, 0.03371459245681763, -0.09093979001045227, -0.2636792063713074, 0.007834464311599731, -0.10085700452327728, 0.17911389470100403, -0.2796255350112915, 0.01804882287979126, 0.06206629052758217, -0.02701491117477417, 0.1652468740940094, 0.10121279954910278, 0.13352760672569275, 0.33510932326316833, 0.24010376632213593, -0.1417330950498581, 0.5506118535995483, 0.09541429579257965, 0.10805017501115799, -0.17845867574214935, -0.1241399422287941, 0.24146881699562073]
