;Unique_Entitites
607;134566
608;2066131
609;181923
610;42165
611;17281278
612;391682
613;182076
614;496946
615;178190
616;11197
617;309252
618;275186
619;309
620;1330402
621;5422685
622;1124860
623;858321
624;308857
625;30599689
626;14692973
627;808
628;6452285
629;21869823
630;998
631;3427301
632;264238
633;185583
634;19718
635;958
636;184932
637;12821337
638;27
639;3334740
640;27948
641;34302
642;18000
643;114380
644;5167661
645;663187
646;207326
647;29507
648;21449755
649;2114394
650;9174
651;180846
652;77
653;859965
654;42139305
655;13427002
656;932410
657;7901733
658;783794
659;10943
660;49848
661;21506863
662;1119
663;867269
664;622404
665;40276
666;7187
667;191290
668;26382
669;276258
670;1532617
671;344
672;10987
673;16021
674;1778788
675;15277
676;37105
677;775842
678;37017
679;188473
680;33622550
681;131774
682;7694472
683;628939
684;2740768
685;7850462
686;1049848
687;801
688;17104930
689;134808
690;1121749
691;9510
692;211346
693;275033
694;665327
695;2063516
696;3083
697;5186556
698;577714
699;1131660
700;4896819
701;817765
702;259059
703;7838
704;50298131
705;734
706;668
707;276453
708;49906
709;988108
710;176763
711;12078
712;7993606
713;853930
714;7095731
715;1134817
716;1364290
717;879844
718;429969
719;32090
720;5225988
721;315
722;2097883
723;15098235
724;1258618
725;854659
726;37828
727;34394
728;654810
729;5090
730;3269975
731;234460
732;1224678
733;9266
734;2669259
735;23595
736;3184856
737;173253
738;139
739;3391846
740;11488158
741;47089
742;178122
743;141488
744;169489
745;16533
746;27504892
747;202805
748;7535186
749;967676
750;39911
751;6136036
752;1962728
753;1989404
754;4839635
755;1295694
756;1347367
757;1211272
758;4905560
759;168210
760;10998
761;2412849
762;13442814
763;7925
764;1043452
765;8396
766;35269
767;7958
768;25096743
769;7257522
770;219239
771;1851760
772;31924
773;42501
774;43193
775;37143
776;41487
777;2472587
778;8492
779;467551
780;272502
781;9158
782;548502
783;7162
784;34660
785;341045
786;592177
787;2062519
788;2424752
789;43015
790;192355
791;188728
792;23143
793;36784
794;18026787
795;8016240
796;38526
797;9927
798;2140674
799;40792
800;461499
801;2827815
802;1420
803;1617600
804;2628694
805;3918
806;331632
807;790
808;2695129
809;583826
810;2616400
811;81799
812;36901144
813;11016
814;11707
815;852835
816;1123036
817;4925193
818;1019
819;190007
820;6693437
821;33273
822;19320953
823;56139
824;173265
825;30612
826;319622
827;34327
828;780
829;15149436
830;841985
831;61694
832;657
833;9639242
834;499594
835;33454
836;19022
837;39798
838;2319007
839;3518184
840;333173
841;554732
842;7300358
843;7637199
844;1436482
845;216896
846;42417097
847;7896149
848;157509
849;58697
850;22019730
851;669205
852;733681
853;1345942
854;12684
855;1275509
856;178651
857;7969813
858;177974
859;6097
860;2071102
861;207333
862;11024
863;470273
864;7478101
865;33617
866;56538632
867;131
868;1028
869;904857
870;2386616
871;7084157
872;186209
873;4153227
874;22907849
875;183440
876;184439
877;292940
878;19026
879;629174
880;211236
881;735234
882;3187916
883;426181
884;503
885;1965933
886;633546
887;3769186
888;65044042
889;2979
890;309100
891;41397
892;8253
893;8473
894;827451
895;33968
896;161604
897;47060
898;4824411
899;1013
900;7294741
901;40
902;6422240
903;1174295
904;217844
905;574
906;693482
907;29142
908;7895476
909;48967974
910;1862087
911;2761147
912;1324132
913;11853193
914;35197
915;923783
916;45242859
917;362009
918;686
919;16001327
920;5347162
921;16585164
922;9465
923;47307
924;28
925;778
926;11653
927;729138
928;1332886
929;180516
930;181022
931;5582564
932;131361
933;19034
934;7278
935;7093778
936;3295336
937;2798820
938;59220438
939;747810
940;963
941;604733
942;55621107
943;10926
944;552754
945;5133849
946;11538
947;184197
948;813912
949;22137260
950;275473
951;5975763
952;5655423
953;7383772
954;14759
955;2754714
956;1146902
957;7802
958;282049
959;1725430
960;492318
961;5465532
962;1161568
963;17054969
964;1008
965;3496852
966;3441742
967;390686
968;214111
969;540912
970;1808825
971;114
972;1135939
973;6694763
974;818574
975;7881
976;7906396
977;2306510
978;6140427
979;7784746
980;595523
981;2990599
982;3294827
983;2576226
984;251868
985;162668
986;55760862
987;693207
988;386724
989;194112
990;366791
991;5278422
992;1154057
993;47519884
994;423220
995;25288
996;778505
997;5512727
998;352858
999;79
1000;403
1001;736
1002;1395012
1003;2576499
1004;869
1005;1326354
1006;40821
1007;207961
1008;185957
1009;185148
1010;1666254
1011;7784467
1012;3347756
1013;27783959
1014;129003
1015;723897
1016;26939
1017;7364
1018;182899
1019;11424
1020;334401
1021;877674
1022;14820887
1023;1229300
1024;41415
1025;18250397
1026;9922
1027;4227944
1028;679614
1029;15328
1030;76074
1031;878
1032;769815
1033;1272
1034;1266
1035;730888
1036;1077139
1037;7727
1038;630511
1039;292068
1040;353163
1041;747883
1042;784
1043;3269254
1044;12277
1045;7784252
1046;3778100
1047;165199
1048;7748263
1049;4191005
1050;37226
1051;29485
1052;424
1053;188628
1054;1075
1055;6935669
1056;1196550
1057;7301329
1058;24238946
1059;2360547
1060;2143762
1061;216158
1062;858
1063;185133
1064;38695
1065;55610092
1066;17010564
1067;1367353
1068;14754981
1069;1135124
1070;1195592
1071;36348
1072;25209318
1073;18848
1074;290620
1075;142
1076;609276
1077;217972
1078;31885770
1079;1039
1080;1154226
1081;4578275
1082;284223
1083;844791
1084;7942
1085;780442
1086;56019
1087;3045752
1088;1005
1089;1203526
1090;178816
1091;936969
1092;168658
1093;28206658
1094;65121328
1095;7100
1096;1412160
1097;17955
1098;395
1099;36534
1100;12453
1101;11774623
1102;283976
1103;944142
1104;15326
1105;1628963
1106;1033951
1107;5885
1108;1788746
1109;213062
1110;585956
1111;491
1112;379813
1113;7877707
1114;223739
1115;192630
1116;1370895
1117;16148449
1118;155656
1119;1196338
1120;43971
1121;476300
1122;21095203
1123;1545013
1124;2296492
1125;152
1126;706622
1127;1369832
1128;3815525
1129;1390
1130;2185953
1131;28823
1132;208528
1133;310122
1134;188638
1135;1326621
1136;157537
1137;21684354
1138;1193832
1139;554774
1140;7362
1141;32518
1142;6430706
1143;2633552
1144;170584
1145;7333409
1146;804
1147;15059449
1148;127076
1149;36004
1150;19717
1151;9350
1152;147
1153;42415067
1154;768575
1155;51597
1156;16870792
1157;68833
1158;7170575
1159;232932
1160;12329957
1161;6817463
1162;1319610
